track_id,track_name,album_id,primary_genre,duration_ms,explicit,key_signature,time_signature,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
75QStZiqRa3mIOcTUTbLv9,The Greatest,30859,j-dance,191466,False,F#/Gb Major,3,0.519,0.832,6,-6.467,1,0.384,0.338,0.0,0.451,0.806,150.476
5v9xa2Nv0oYxh1XilPR8r9,Et puis merde je vote à droite!,28123,french,185493,False,A#/Bb Major,4,0.641,0.741,10,-4.76,1,0.116,0.0214,0.0,0.0631,0.654,148.786
4uu7gKd1PffC7QEMcMk0Ro,One Take,39699,r-n-b,168653,True,F Minor,4,0.76,0.615,5,-9.36,0,0.33,0.072,0.0,0.0571,0.351,148.014
6IQHp4OmkqUjKZyfkAeta7,River,30953,sleep,50000,False,F Minor,5,0.32,0.952,5,-27.956,0,0.103,0.838,0.995,0.93,0.0184,116.402
2bmpohm2ZVk5fDCfX5gAwU,Silver Lining,38858,power-pop,162214,False,E Major,4,0.487,0.93,4,-5.927,1,0.0603,0.00156,3.63e-06,0.369,0.743,139.923
4sjLcE0GQ6urc4iUXsUPe9,Kings And Queens,38790,grunge,347666,False,G#/Ab Major,4,0.293,0.817,8,-5.432,1,0.0852,0.0401,3.4e-05,0.13,0.145,165.0
2885q04eeHkKh0M3Q7vh7H,Burning Love - D-Block & S-te-Fan Remix,16052,happy,409600,False,A#/Bb Minor,4,0.68,0.746,10,-4.212,0,0.107,0.0137,0.0623,0.0673,0.451,75.0
7FzgTspwa0z7VtTE9T2iNN,Discord,34858,black-metal,253483,False,E Minor,4,0.259,0.981,4,-6.655,0,0.0967,2.88e-06,0.944,0.706,0.103,170.105
5UcpS8tiqIBonv1O145xlq,Devil On My Shoulder,30219,indie,212493,True,G Major,4,0.661,0.323,7,-9.579,1,0.0412,0.649,1.82e-05,0.193,0.372,129.955
4cZTvx9cDgK1oISjcBsjUi,You Used to Love Me,15299,soul,269173,False,C Major,4,0.702,0.458,0,-8.195,1,0.0348,0.247,1.64e-06,0.126,0.679,89.266
3K3mo4LoxPKk18oqIC3hQC,Udaarian,32810,hip-hop,342585,False,D Minor,4,0.659,0.712,2,-5.585,0,0.0352,0.584,0.0,0.201,0.883,143.792
78FHUZRbFDCG6VkRAQdFLm,Broken Wings,42034,synth-pop,343933,False,C#/Db Minor,4,0.286,0.5,1,-14.281,0,0.0357,0.134,4.57e-05,0.108,0.443,99.162
2269gvVfETAflSDZIlvqN6,Keyne,33072,ambient,49523,False,C Major,5,0.199,0.118,0,-23.407,1,0.0546,0.608,0.602,0.118,0.164,123.353
2AG8rOY3Gzd2pL1kBpluGt,United,40400,trance,217391,False,C#/Db Major,4,0.643,0.957,1,-5.026,1,0.0892,0.0565,0.841,0.0763,0.281,138.073
